category,brand,slug,origin_name_vi,origin_code
CASE,Hyte,hyte,Mỹ,US
CASE,Phanteks,phanteks,Hà Lan,NL
CASE,Fractal Design,fractal-design,Thụy Điển,SE
CASE,Deepcool,deepcool,Trung Quốc,CN
CASE,Jonsbo,jonsbo,Trung Quốc,CN
CASE,Sama,sama,Trung Quốc,CN
CASE,Aigo,aigo,Trung Quốc,CN
CASE,VSP,vsp,Việt Nam,VN
CASE,Mikro,mikro,Trung Quốc,CN
CASE,Segotep,segotep,Trung Quốc,CN
CASE,1stPlayer,1stplayer,Trung Quốc,CN
CASE,Gamemax,gamemax,Trung Quốc,CN
CASE,Aerocool,aerocool,Đài Loan,TW
CASE,Gamdias,gamdias,Đài Loan,TW
CASE,Galax,galax,Hong Kong,HK
CASE,Cougar,cougar,Đức,DE
CASE,Tecware,tecware,Singapore,SG
WATER_COOLING,EKWB,ekwb,Slovenia,SI
WATER_COOLING,Alphacool,alphacool,Đức,DE
WATER_COOLING,Barrow,barrow,Trung Quốc,CN
WATER_COOLING,Bykski,bykski,Trung Quốc,CN
WATER_COOLING,Bitspower,bitspower,Đài Loan,TW
WATER_COOLING,Thermaltake,thermaltake,Đài Loan,TW
WATER_COOLING,Cooler Master,cooler-master,Đài Loan,TW
WATER_COOLING,Corsair,corsair,Mỹ,US
WATER_COOLING,Phanteks,phanteks,Hà Lan,NL
WATER_COOLING,Freezemod,freezemod,Trung Quốc,CN
WATER_COOLING,Magicool,magicool,Trung Quốc,CN
